Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.714285714285714
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,3.8,4.1,4.3,3.7,4.4,4.1,4.1,4.071428571428571
azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3.4,3.4,3.8,3.4,3.6,3.0,3.4,3.4285714285714284
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3.2857142857142856,3.2142857142857144,3.642857142857143,3.4285714285714284,3.642857142857143,3.0714285714285716,3.642857142857143,3.418367346938776
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3.5714285714285716,2.9285714285714284,3.357142857142857,3.142857142857143,3.357142857142857,3.0714285714285716,3.357142857142857,3.2551020408163267
azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2.7,3.1,3.0,2.7,3.1,3.1,3.2,2.9857142857142853
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,2.4285714285714284,3.142857142857143,3.142857142857143,2.4285714285714284,2.857142857142857,3.0,2.7142857142857144,2.816326530612245
azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2.6363636363636362,2.8181818181818183,2.5454545454545454,2.272727272727273,2.909090909090909,2.909090909090909,2.6363636363636362,2.6753246753246755
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,2.6666666666666665,2.3333333333333335,3.0,2.6666666666666665,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.619047619047619
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2.5,2.625,2.5,2.125,2.75,2.75,2.75,2.5714285714285716
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,2.5,2.0,2.5,2.0,2.5,2.0,2.5,2.2857142857142856
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,2.0,2.2,1.8,1.8,2.0,2.2,2.0,2.0
