Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.571428571428571
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4.1,4.2,4.4,4.1,4.5,4.3,4.5,4.3
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3.9285714285714284,3.0,3.7857142857142856,3.7142857142857144,3.642857142857143,3.2857142857142856,3.9285714285714284,3.6122448979591835
azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3.8,3.2,3.8,3.8,3.6,3.2,3.8,3.6000000000000005
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3.2857142857142856,3.142857142857143,3.357142857142857,3.2142857142857144,3.5,3.2142857142857144,3.357142857142857,3.295918367346939
azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3.0,3.0,3.2,3.1,3.4,3.1,3.4,3.1714285714285713
azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2.909090909090909,3.090909090909091,2.8181818181818183,2.4545454545454546,3.090909090909091,3.090909090909091,3.090909090909091,2.935064935064935
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,2.7142857142857144,3.142857142857143,2.857142857142857,2.5714285714285716,3.142857142857143,3.0,2.857142857142857,2.89795918367347
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2.75,2.625,2.75,2.5,3.0,3.0,2.875,2.7857142857142856
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,3.0,2.5,3.0,2.5,3.0,2.5,3.0,2.7857142857142856
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.3333333333333335,2.0,2.3333333333333335,2.3333333333333335
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,2.0,2.2,1.8,1.8,2.0,2.2,2.0,2.0
