Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,3.85,3.783333333333333,3.908333333333333,3.6166666666666667,4.125,3.825,4.041666666666667,3.8785714285714286
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_more,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.7142857142857144
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,3.4444444444444446,3.393162393162393,3.6837606837606836,3.3504273504273505,3.7606837606837606,3.4786324786324787,3.623931623931624,3.5335775335775343
azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3.6810344827586206,3.146551724137931,3.6293103448275863,3.5172413793103448,3.6293103448275863,3.25,3.663793103448276,3.5024630541871926
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3.533333333333333,2.9833333333333334,3.5833333333333335,3.4583333333333335,3.558333333333333,3.1333333333333333,3.6,3.4071428571428575
azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,3.364406779661017,3.23728813559322,3.5084745762711864,3.2457627118644066,3.593220338983051,3.3135593220338984,3.542372881355932,3.400726392251816
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3.1666666666666665,3.1666666666666665,3.35,3.0416666666666665,3.5416666666666665,3.3333333333333335,3.425,3.289285714285714
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3.305084745762712,3.0,3.3389830508474576,3.093220338983051,3.406779661016949,3.152542372881356,3.305084745762712,3.228813559322034
azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3.060344827586207,3.1551724137931036,3.2672413793103448,2.9655172413793105,3.4051724137931036,3.163793103448276,3.3017241379310347,3.1884236453201966
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,2.786324786324786,2.923076923076923,2.9316239316239314,2.6923076923076925,3.1025641025641026,2.965811965811966,2.965811965811966,2.9096459096459095
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,3.0714285714285716,2.5714285714285716,2.9285714285714284,2.857142857142857,3.0,2.642857142857143,3.0714285714285716,2.8775510204081636
azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,2.642857142857143,2.7857142857142856,2.7857142857142856,2.642857142857143,2.642857142857143,2.642857142857143,2.7142857142857144,2.693877551020408
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,2.0714285714285716,2.642857142857143,2.5,2.2142857142857144,2.4285714285714284,2.5714285714285716,2.5,2.418367346938776
