,id,Title,Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
0,0,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3,3,3,2,3,3,3,2.857142857142857
4,4,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,3,3,3,3,3,3,3.142857142857143
5,5,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,3,3,3,3,3,3,4,3.142857142857143
6,6,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,4,5,5,5,4,5,4.714285714285714
7,7,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,2,3,2,2,3,3,2,2.4285714285714284
8,8,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,3,3,2,3,3,3,2.7142857142857144
11,11,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3,3,3,3,3,3,3,3.0
12,12,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,5,4,5,5,5,4,5,4.714285714285714
15,15,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,5,5,5,4,5,4.714285714285714
18,18,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,3,3,3,3,3,2.857142857142857
21,21,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,4,3,4,4,4,3,4,3.7142857142857144
24,24,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,3,3,3,3,3,2.857142857142857
26,26,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,4,4,4,3,4,3.7142857142857144
27,27,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,2,4,3,3,4,4,4,3.4285714285714284
28,28,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,3,2,2,3,3,3,2.5714285714285716
30,30,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,3,3,3,3,3,3,3,3.0
32,32,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,3,4,4,4,4,4,3.857142857142857
37,37,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,3,4,4,3,4,4,4,3.7142857142857144
38,38,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,5,5,5,4,5,4.714285714285714
39,39,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,3,4,4,4,4,4,3.857142857142857
40,40,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3,4,4,4,4,4,4,3.857142857142857
43,43,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,3,4,3,2,3,3,3,3.0
50,50,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,4,3,4,3,4,3,4,3.5714285714285716
52,52,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,3,3,3,4,4,4,3.5714285714285716
53,53,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,2,3,3,2,3,3,3,2.7142857142857144
59,59,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,2,4,4,3,2,4,3.2857142857142856
61,61,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,1,2,2,1,1,1,1,1.2857142857142858
64,64,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,2,1,1,1,2,1,1.2857142857142858
65,65,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,2,3,2,2,3,3,2,2.4285714285714284
66,66,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,3,5,5,4,4,5,4.428571428571429
68,68,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,2,3,3,3,2,4,3.0
69,69,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,3,4,4,3,3,4,3.5714285714285716
70,70,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3,3,4,4,4,3,4,3.5714285714285716
72,72,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,2,3,2,2,3,3,2,2.4285714285714284
73,73,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3,2,3,2,3,3,3,2.7142857142857144
74,74,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,3,4,4,4,3,4,3.857142857142857
75,75,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,2,2,1,1,2,2,1,1.5714285714285714
76,76,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,3,3,4,3,3,3.2857142857142856
77,77,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,3,3,3,3,3,3,2.857142857142857
80,80,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,3,3,4,3,4,3.4285714285714284
81,81,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,5,4,4,4,5,4,5,4.428571428571429
84,84,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3,4,4,3,4,4,4,3.7142857142857144
87,87,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,3,2,2,2,3,3,2.4285714285714284
90,90,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,4,4,4,4,4,4,4.0
91,91,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,1,1,1,1,1,1,1,1.0
92,92,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,3,4,4,4,4,4,4,3.857142857142857
97,97,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,3,4,3,4,3,4,3.5714285714285716
98,98,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,1,1,1,1,1,1,1,1.0
103,103,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,3,4,4,4,3,4,3.7142857142857144
106,106,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,1,2,1,1,1,2,1,1.2857142857142858
107,107,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,5,4,4,4,5,4,5,4.428571428571429
112,112,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,1,2,1,1,1,2,1,1.2857142857142858
114,114,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,3,4,4,4,4,5,4.142857142857143
115,115,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,5,5,5,5,5,5,5.0
116,116,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,5,4,5,5,5,4,5,4.714285714285714
119,119,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,4,4,4,4,4,4.0
122,122,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,1,1,1,1,1,1,1,1.0
123,123,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,4,5,5,5,4,5,4.714285714285714
124,124,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,4,3,4,4,4,4,4,3.857142857142857
125,125,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,4,5,5,5,4,5,4.714285714285714
129,129,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,2,3,2,2,3,3,3,2.5714285714285716
131,131,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,3,4,4,4,3,4,3.7142857142857144
132,132,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,1,1,1,1,1,1,1,1.0
140,140,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,2,4,3,2,3,4,4,3.142857142857143
142,142,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,4,5,5,5,4,5,4.714285714285714
144,144,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,1,2,1,1,1,2,1,1.2857142857142858
147,147,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,4,3,4,3,4,4,4,3.7142857142857144
148,148,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,5,4,5,5,4,4,5,4.571428571428571
150,150,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,1,1,1,1,1,1,1,1.0
151,151,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,2,3,2,1,2,2,2,2.0
152,152,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,5,5,4,5,5,5,4.714285714285714
155,155,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3,3,3,3,3,3,3,3.0
156,156,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2,2,1,1,2,2,1,1.5714285714285714
165,165,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,3,5,5,5,4,5,4.571428571428571
166,166,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,5,5,5,5,5,5,5.0
167,167,Twilight,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,5,4,5,5,4,4,5,4.571428571428571
172,172,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,2,3,3,2,3,3,2,2.5714285714285716
173,173,A_Song_of_Ice_and_Fire,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,2,2,2,2,2,2,2.0
174,174,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,5,3,5,5,5,4,5,4.571428571428571
175,175,Harry_Potter,azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,2,2,2,2,2,2,2,2.0
176,176,The_Lord_of_the_Rings,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,3,4,4,4,4,4,3.857142857142857
178,178,The_Matrix,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,4,3,2,3,4,4,4,3.4285714285714284
