Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_more,5.0,4.0,5.0,5.0,5.0,4.5,5.0,4.785714285714286
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4.088495575221239,4.008849557522124,4.451327433628318,4.398230088495575,4.31858407079646,4.070796460176991,4.460176991150442,4.2566371681415935
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,4.444444444444445,3.5555555555555554,4.333333333333333,4.333333333333333,4.111111111111111,3.888888888888889,4.444444444444445,4.158730158730158
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,3.982142857142857,3.8839285714285716,4.321428571428571,4.196428571428571,4.1875,3.9642857142857144,4.303571428571429,4.119897959183674
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3.709090909090909,3.4727272727272727,4.109090909090909,4.027272727272727,3.8363636363636364,3.618181818181818,4.1,3.838961038961039
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3.6557377049180326,3.639344262295082,4.0,3.8278688524590163,3.9262295081967213,3.7131147540983607,4.016393442622951,3.8255269320843093
azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3.7142857142857144,3.3506493506493507,3.9740259740259742,3.8701298701298703,3.6493506493506493,3.4545454545454546,3.909090909090909,3.7031539888682743
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft_alpaca,4.090909090909091,3.1818181818181817,3.727272727272727,3.727272727272727,3.4545454545454546,3.272727272727273,3.8181818181818183,3.6103896103896105
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,3.4867256637168142,3.2831858407079646,3.7610619469026547,3.6371681415929205,3.566371681415929,3.3628318584070795,3.7787610619469025,3.553729456384324
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3.557377049180328,3.1065573770491803,3.7131147540983607,3.69672131147541,3.5327868852459017,3.2704918032786887,3.7295081967213113,3.5152224824355973
azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,3.3636363636363638,2.5454545454545454,3.090909090909091,3.090909090909091,3.090909090909091,2.727272727272727,3.1818181818181817,3.012987012987012
azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2.743801652892562,2.9173553719008263,3.322314049586777,2.9917355371900825,3.0661157024793386,2.950413223140496,3.090909090909091,3.011806375442739
azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,2.8947368421052633,2.7280701754385963,3.06140350877193,2.9035087719298245,2.973684210526316,2.8684210526315788,3.026315789473684,2.9223057644110275
