Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.571428571428571
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,3.764705882352941,3.764705882352941,4.0,3.8823529411764706,4.0588235294117645,3.8823529411764706,4.0,3.907563025210084
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,3.888888888888889,3.7222222222222223,3.8333333333333335,3.9444444444444446,4.0,3.7777777777777777,3.9444444444444446,3.8730158730158735
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,3.7142857142857144,3.4285714285714284,3.7142857142857144,3.7142857142857144,3.7142857142857144,3.4285714285714284,3.7142857142857144,3.6326530612244903
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3.5,3.5,3.75,3.5,3.9166666666666665,3.5,3.75,3.630952380952381
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3.4615384615384617,3.230769230769231,3.4615384615384617,3.4615384615384617,3.5384615384615383,3.3076923076923075,3.6153846153846154,3.4395604395604393
azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3.3333333333333335,3.0,3.3333333333333335,3.1666666666666665,3.3333333333333335,3.0,3.1666666666666665,3.1904761904761907
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3.125,3.0,3.375,3.125,3.125,2.75,3.25,3.107142857142857
azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2.888888888888889,2.5555555555555554,3.111111111111111,2.7777777777777777,2.6666666666666665,2.7777777777777777,2.7777777777777777,2.7936507936507935
azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,3.0,2.5,3.0,2.7,2.8,2.5,2.8,2.757142857142857
azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
