Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
azure_GPT-4-Turbo,azure_gpt-35-turbo,baichuan_sft,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.428571428571429
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,3.6470588235294117,3.823529411764706,4.0588235294117645,3.8823529411764706,4.0588235294117645,3.7058823529411766,4.117647058823529,3.899159663865546
azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3.6666666666666665,3.6666666666666665,3.8333333333333335,3.5,3.8333333333333335,3.5,3.5,3.642857142857143
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,3.5,3.3333333333333335,3.611111111111111,3.5555555555555554,3.7222222222222223,3.3333333333333335,3.611111111111111,3.5238095238095233
azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3.25,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.6666666666666665,3.4166666666666665,3.75,3.488095238095238
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,3.5714285714285716,3.4285714285714284,3.4285714285714284,3.2857142857142856,3.7142857142857144,3.2857142857142856,3.2857142857142856,3.4285714285714284
azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3.3846153846153846,3.3076923076923075,3.4615384615384617,3.3846153846153846,3.6153846153846154,3.1538461538461537,3.4615384615384617,3.395604395604395
azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,3.0,2.5,3.1,2.8,2.9,2.5,2.9,2.8142857142857136
azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,2.875,2.625,3.0,2.875,2.875,2.5,2.875,2.8035714285714284
azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2.2222222222222223,2.2222222222222223,2.4444444444444446,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2539682539682535
azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
