,id,Title,Judger,Narrator,Model,Knowledge Accuracy,Emotional Expression,Personality Traits,Behavioral Accuracy,Immersion,Adaptability,Behavioral Coherence,Average
1,1,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,1,1,1,1,1,1,1,1.0
2,2,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,3,3,3,3,3,3,3,3.0
3,3,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,5,4,5,5,5,4,5,4.714285714285714
9,9,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,5,5,5,5,5,5,5,5.0
10,10,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,4,4,4,4,4,4,4.0
13,13,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,2,3,3,2,3,3,3,2.7142857142857144
14,14,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,3,4,4,4,4,3.7142857142857144
16,16,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,3,4,4,4,3,4,3.7142857142857144
17,17,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,3,3,2,2,3,2,2.4285714285714284
19,19,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,4,4,4,4,4,4,4.0
20,20,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,2,3,2,2,2,3,2,2.2857142857142856
22,22,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,4,4,4,4,4,4,4.0
23,23,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,5,4,5,5,5,4,5,4.714285714285714
25,25,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,4,4,4,4,4,4,4.0
29,29,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,4,4,4,4,4,4,4,4.0
31,31,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,3,4,4,3,4,3,4,3.5714285714285716
33,33,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,4,3,4,4,4,3,4,3.7142857142857144
34,34,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,3,3,3,3,3,3,3,3.0
35,35,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,3,3,2,2,3,2,2.4285714285714284
36,36,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Mistral-7B-Instruct-v0.2,2,2,2,2,2,2,2,2.0
41,41,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,3,3,3,3,3,3,3,3.0
42,42,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3,4,4,4,3,3,4,3.5714285714285716
44,44,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,4,4,4,4,4,4,4.0
45,45,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,5,4,5,5,5,4,5,4.714285714285714
46,46,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3,4,3,3,4,4,4,3.5714285714285716
47,47,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,4,5,5,5,4,5,4.571428571428571
48,48,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,1,1,1,1,1,1,1,1.0
49,49,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,4,4,4,4,4,4,4,4.0
51,51,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,phi_sft,1,1,1,1,1,1,1,1.0
54,54,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,3,4,4,4,4,4,3.857142857142857
55,55,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Meta-Llama-3-8B-Instruct,4,4,4,4,4,4,4,4.0
56,56,三国演义,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,4,4,4,4,4,3,4,3.857142857142857
57,57,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-14B-Chat,5,4,5,5,5,4,5,4.714285714285714
58,58,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,Phi-3-mini-128k-instruct,5,4,5,5,5,4,5,4.714285714285714
60,60,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-7B-Chat,4,3,4,4,4,3,4,3.7142857142857144
62,62,还珠格格,azure_GPT-4-Turbo,azure_gpt-35-turbo,Baichuan2-13B-Chat,3,3,3,3,3,3,3,3.0
63,63,笑傲江湖,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_GPT-4-Turbo,4,4,4,4,4,4,4,4.0
67,67,红楼梦,azure_GPT-4-Turbo,azure_gpt-35-turbo,azure_gpt-35-turbo,3,3,3,3,3,3,3,3.0
71,71,西游记,azure_GPT-4-Turbo,azure_gpt-35-turbo,Qwen1.5-7B-Chat,3,4,3,3,4,4,4,3.5714285714285716
